[NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 7ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 290ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 240ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 381ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 269ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 289ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 585ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 456ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 425ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 32x32 4KB in 174ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 175ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 176ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 281ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 485ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 487ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 503ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 489ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 286ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 515ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 520ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 361ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 319ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 483ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 496ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 447ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 282ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 268ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 269ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 487ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 437ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 477ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 590ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 426ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 297ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 211ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 212ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 185ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 234ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 298ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 287ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 684ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 466ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 16x16 1KB in 488ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 488ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 697ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 499ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 558ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 504ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 117ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 407ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 433ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 435ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 419ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 461ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 830ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 965ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 532ms
